n,VR=1.10,VR=1.20,VR=1.30,VR=1.40
20,3.72,4.03,4.48,5.05
40,4.32,5.20,6.48,8.17
60,4.81,6.26,8.50,11.36
80,5.21,7.29,10.45,14.51
100,5.54,8.24,12.38,17.69
120,5.83,9.18,14.29,20.84
140,6.11,10.11,16.21,23.98
160,6.39,11.03,18.13,27.09
180,6.65,11.94,20.04,30.12
200,6.91,12.86,21.94,33.14
220,7.17,13.80,23.84,36.08
240,7.42,14.69,25.71,38.96
260,7.67,15.61,27.55,41.80
280,7.92,16.52,29.41,44.55
300,8.18,17.43,31.28,47.21
320,8.41,18.34,33.08,49.79
340,8.65,19.26,34.84,52.28
360,8.90,20.19,36.61,54.73
380,9.14,21.06,38.39,57.04
400,9.39,21.99,40.10,59.27
420,9.62,22.89,41.82,61.45
440,9.86,23.76,43.48,63.53
460,10.12,24.71,45.12,65.50
480,10.36,25.59,46.75,67.40
500,10.61,26.47,48.33,69.22
520,10.86,27.37,49.89,70.97
540,11.08,28.28,51.43,72.61
560,11.32,29.15,52.91,74.18
580,11.58,30.05,54.39,75.69
600,11.83,30.95,55.84,77.11
620,12.07,31.81,57.22,78.46
640,12.31,32.68,58.56,79.76
660,12.58,33.54,59.91,80.97
680,12.81,34.43,61.24,82.12
700,13.05,35.28,62.53,83.22
720,13.29,36.14,63.75,84.24
740,13.55,36.96,64.94,85.25
760,13.78,37.79,66.11,86.17
780,14.04,38.66,67.30,87.03
800,14.29,39.48,68.39,87.87
820,14.53,40.32,69.46,88.63
840,14.77,41.14,70.52,89.37
860,15.03,41.96,71.58,90.07
880,15.26,42.75,72.55,90.70
900,15.49,43.53,73.53,91.29
920,15.76,44.39,74.45,91.89
940,15.99,45.13,75.37,92.42
960,16.22,45.90,76.28,92.94
980,16.49,46.69,77.14,93.40
1000,16.74,47.44,77.94,93.84
1100,17.96,51.22,81.75,95.67
1200,19.21,54.77,84.95,97.00
1300,20.43,58.12,87.64,97.92
1400,21.67,61.31,89.90,98.58
1500,22.88,64.34,91.78,99.03
1600,24.12,67.16,93.33,99.34
1700,25.35,69.82,94.62,99.55
1800,26.56,72.31,95.66,99.70
1900,27.81,74.62,96.51,99.80
2000,29.02,76.75,97.21,99.87
2100,30.20,78.73,97.77,99.91
2200,31.40,80.58,98.22,99.94
2300,32.58,82.29,98.58,99.96
2400,33.79,83.86,98.88,99.97
2500,34.93,85.31,99.12,99.98
2600,36.12,86.65,99.30,99.99
2700,37.27,87.87,99.45,99.99
2800,38.41,89.02,99.57,100.00
2900,39.58,90.03,99.66,100.00
3000,40.66,90.95,99.73,100.00
3100,41.78,91.83,99.79,100.00
3200,42.87,92.61,99.84,100.00
3300,43.95,93.33,99.87,100.00
3400,45.07,93.97,99.90,100.00
3500,46.14,94.57,99.92,100.00
3600,47.21,95.10,99.94,100.00
3700,48.24,95.58,99.95,100.00
3800,49.23,96.03,99.96,100.00
3900,50.27,96.42,99.97,100.00
4000,51.24,96.79,99.98,100.00
4100,52.28,97.12,99.98,100.00
4200,53.25,97.40,99.99,100.00
4300,54.19,97.67,99.99,100.00
4400,55.15,97.92,99.99,100.00
4500,56.07,98.13,99.99,100.00
4600,57.00,98.32,100.00,100.00
4700,57.89,98.50,100.00,100.00
4800,58.80,98.66,100.00,100.00
4900,59.67,98.81,100.00,100.00
5000,60.55,98.93,100.00,100.00
5200,62.24,99.15,100.00,100.00
5400,63.87,99.32,100.00,100.00
5600,65.46,99.46,100.00,100.00
5800,67.01,99.57,100.00,100.00
6000,68.47,99.66,100.00,100.00
6200,69.87,99.73,100.00,100.00
6400,71.27,99.79,100.00,100.00
6600,72.59,99.83,100.00,100.00
6800,73.84,99.87,100.00,100.00
7000,75.07,99.90,100.00,100.00
7200,76.25,99.92,100.00,100.00
7400,77.35,99.94,100.00,100.00
7600,78.45,99.95,100.00,100.00
7800,79.48,99.96,100.00,100.00
8000,80.49,99.97,100.00,100.00
8200,81.45,99.98,100.00,100.00
8400,82.33,99.98,100.00,100.00
8600,83.22,99.99,100.00,100.00
8800,84.07,99.99,100.00,100.00
9000,84.85,99.99,100.00,100.00
9200,85.61,99.99,100.00,100.00
9400,86.34,99.99,100.00,100.00
9600,87.06,100.00,100.00,100.00
9800,87.73,100.00,100.00,100.00
10000,88.36,100.00,100.00,100.00
10200,88.95,100.00,100.00,100.00
10400,89.53,100.00,100.00,100.00
10600,90.06,100.00,100.00,100.00
10800,90.59,100.00,100.00,100.00
11000,91.09,100.00,100.00,100.00
11200,91.57,100.00,100.00,100.00
11400,92.01,100.00,100.00,100.00
11600,92.46,100.00,100.00,100.00
11800,92.84,100.00,100.00,100.00
12000,93.24,100.00,100.00,100.00
12200,93.60,100.00,100.00,100.00
12400,93.94,100.00,100.00,100.00
12600,94.29,100.00,100.00,100.00
12800,94.60,100.00,100.00,100.00
13000,94.89,100.00,100.00,100.00
13200,95.19,100.00,100.00,100.00
13400,95.44,100.00,100.00,100.00
13600,95.68,100.00,100.00,100.00
13800,95.93,100.00,100.00,100.00
14000,96.17,100.00,100.00,100.00
14200,96.38,100.00,100.00,100.00
14400,96.58,100.00,100.00,100.00
14600,96.78,100.00,100.00,100.00
14800,96.96,100.00,100.00,100.00
15000,97.14,100.00,100.00,100.00