TS,TPR=1.1 CP=1%,TPR=1.1 CP=10%,TPR=1.2 CP=1%,TPR=1.2 CP=10%,TPR=1.5 CP=1%,TPR=1.5 CP=10%
10,43.79,42.53,38.51,37.09,26.21,24.61
15,42.61,41.36,36.11,34.72,21.53,20.26
20,41.42,40.34,34.06,32.73,18.29,16.92
25,40.49,39.36,32.28,31.00,15.53,14.29
30,39.58,38.53,30.75,29.46,13.37,12.15
35,38.78,37.74,29.37,28.09,11.51,10.38
40,38.07,37.01,28.10,26.78,10.01,8.93
45,37.36,36.29,26.96,25.61,8.69,7.71
50,36.71,35.63,25.87,24.53,7.58,6.66
55,36.11,35.03,24.84,23.50,6.62,5.77
60,35.47,34.45,23.91,22.55,5.83,5.02
65,34.94,33.86,23.01,21.67,5.11,4.36
70,34.41,33.30,22.18,20.84,4.49,3.80
75,33.91,32.76,21.39,20.05,3.96,3.32
80,33.37,32.31,20.63,19.32,3.49,2.90
85,32.91,31.82,19.93,18.63,3.08,2.54
90,32.45,31.35,19.25,17.94,2.72,2.22
95,32.01,30.88,18.62,17.29,2.41,1.95
100,31.58,30.46,17.98,16.67,2.12,1.72
110,30.77,29.62,16.86,15.55,1.68,1.32
120,30.01,28.83,15.79,14.51,1.32,1.02
130,29.22,28.07,14.82,13.56,1.04,0.788
140,28.53,27.35,13.94,12.68,0.821,0.613
150,27.87,26.69,13.11,11.88,0.649,0.476
160,27.22,26.01,12.34,11.14,0.517,0.373
170,26.60,25.43,11.62,10.44,0.418,0.291
180,25.99,24.81,10.98,9.82,0.331,0.226
190,25.44,24.23,10.35,9.21,0.262,0.177
200,24.89,23.69,9.77,8.67,0.208,0.135
220,23.86,22.63,8.73,7.66,0.132,0.086
240,22.88,21.68,7.79,6.81,0.0842,0.0536
260,22.00,20.77,6.99,6.04,0.0556,0.0324
280,21.11,19.90,6.28,5.38,0.0351,0.0201
300,20.35,19.07,5.63,4.79,0.0231,0.0125
320,19.57,18.32,5.07,4.28,0.0141,0.00768
340,18.85,17.62,4.57,3.82,0.00877,0.00450
360,18.17,16.92,4.13,3.40,0.00602,0.00314
380,17.52,16.27,3.71,3.05,0.00375,0.00211
400,16.92,15.65,3.36,2.74,0.00246,0.00113
420,16.29,15.06,3.02,2.45,0.00160,0.00064
440,15.76,14.52,2.74,2.19,0.00102,0.00047
460,15.23,13.99,2.48,1.98,0.00073,0.00029
480,14.70,13.47,2.25,1.78,0.00034,0.00020
500,14.20,13.00,2.04,1.59,0.00030,0.00013
525,13.63,12.41,1.80,1.39,0.00013,0.00007
550,13.08,11.87,1.59,1.22,0.00007,0.00004
575,12.54,11.37,1.41,1.07,0.00004,0.00003
600,12.04,10.87,1.25,0.931,0.00003,0.00001
625,11.56,10.40,1.11,0.817,0.00002,0.00001
650,11.09,9.97,0.978,0.719,0.00002,0
675,10.66,9.55,0.866,0.629,0.00001,0
700,10.24,9.16,0.776,0.552,0.00001,0
725,9.85,8.77,0.687,0.491,0.00001,0
750,9.48,8.40,0.605,0.433,0,0
800,8.78,7.74,0.485,0.332,0,0
850,8.14,7.12,0.383,0.256,0,0
900,7.55,6.56,0.304,0.200,0,0
950,7.00,6.07,0.236,0.156,0,0
1000,6.50,5.58,0.191,0.121,0,0